club,last_name,first_name,position,base_salary,guaranteed_compensation
New York Red Bulls,Abang,Anatole,F,68927.0,68927.0
New York City FC,Abdul-Salaam,Saad,D,106480.0,120230.0
Columbus Crew,Abu,Mohammed,M,175008.0,181258.0
Columbus Crew,Abubakar,Lalas,D,68250.04,75750.04
Philadelphia Union,Accam,David,F-M,1250000.04,1250000.04
Colorado Rapids,Acosta,Kellyn,M,280000.0,300000.0
DC United,Acosta,Luciano,F-M,550000.0,652000.0
Real Salt Lake,Acosta,Danilo,M,100000.0,100000.0
Chicago Fire,Adams,Mohammed,M,90000.0,125000.0
New York Red Bulls,Adams,Tyler,M,100000.0,146041.67
FC Cincinnati,Adi,Fanendo,F,1275000.0,1933333.33
Colorado Rapids,Adjei-Boateng,Nana,M,320004.0,361250.0
San Jose Earthquakes,Affolter,Francois,D,200000.04,232650.04
Columbus Crew,Afful,Harrison,D,288099.96,363799.96
New England Revolution,Agudelo,Juan,F,575000.0,602500.0
FC Dallas,Aguilar,Abel,M,272727.24,328127.24
Vancouver Whitecaps,Aja,Jose,D,240000.0,240000.0
San Jose Earthquakes,Akanyirige,Jacob,D,54500.04,56500.04
Toronto FC,Aketxe Barrutia,Ager,M,1190000.04,1295000.04
FC Dallas,Akindele,Tesho,F-M,105000.0,122500.0
Toronto FC,Akinola,Ayo,F,54504.0,140504.0
FC Cincinnati,Alashe,Fatai,M,107992.5,124242.5
LA Galaxy,Alessandrini,Romain,M,1539996.0,1869996.0
Houston Dynamo,Alexander,Eric,M,260004.0,260004.0
Seattle Sounders FC,Alfaro,Tony,D,67500.0,67500.0
Orlando City SC,Allen,RJ,D,90000.0,90000.0
Real Salt Lake,Allen,Jordan,M,225000.0,225000.0
Atlanta United,Almiron,Miguel,M,1912500.0,2297000.0
Seattle Sounders FC,Alonso,Osvaldo,M,1100000.04,1141667.04
Toronto FC,Altidore,Jozy,F,5000000.0,5000000.0
Houston Dynamo,Alvarez,Arturo,M,150000.0,157500.0
LA Galaxy,Alvarez,Efrain,M,67500.0,72233.84
Philadelphia Union,Alves Macedo,Fabinho,D,153000.0,153000.0
New York City FC,Amagat,Eloi,M,240000.0,261250.0
Montreal Impact,Amarikwa,Quincy,F,275500.0,289166.67
Atlanta United,Ambrose,Mikey,D,68906.25,68906.25
DC United,Andriuskevicius,Vytautas,D,250000.0,271875.0
New England Revolution,Angking,Isaac,M,67500.0,72500.0
New England Revolution,Anibaba,Jalil,D,90000.0,90000.0
FC Dallas,Aranguiz,Pablo,M,399999.96,459999.96
Portland Timbers,Arboleda,Victor,F-M,54499.92,54499.92
LA Galaxy,Arellano,Hugo,D,75000.0,82573.75
Columbus Crew,Argudo,Luis,M,54500.04,54500.04
Portland Timbers,Armenteros,Samuel,F,600000.0,608333.33
DC United,Arriola,Paul,M,624999.96,663999.96
DC United,Asad,Yamil,M,436363.56,520522.65
Orlando City SC,Ascues,Carlos,D,360000.0,391500.0
Portland Timbers,Asprilla,Dairon,F-M,180000.0,193750.0
Portland Timbers,Attinella,Jeff,GK,114999.96,123999.96
FC Dallas,Atuahene,Francis,F,124999.92,168999.92
LAFC,Atuesta,Eduard,M,450000.0,468000.0
Toronto FC,Auro,,D,200004.0,272504.0
New York City FC,Awuah,Kwame,D-M,55654.2,55654.2
Montreal Impact,Azira,Michael,M,125000.0,131625.0
FC Dallas,Badji,Dominique,F,162500.04,168750.04
Real Salt Lake,Baird,Corey,F,54504.0,54504.0
Toronto FC,Bakero,Jon,F,84999.96,101374.96
Vancouver Whitecaps,Baldisimo,Michael,M,54500.04,116471.59
Atlanta United,Barco,Ezequiel,M,1425000.0,1425000.0
Portland Timbers,Barmby,Jack,M,68256.0,68256.0
Colorado Rapids,Barnes,Giles,F-M,200000.04,200000.04
FC Dallas,Barrios,Michael,M,400000.08,400000.08
Real Salt Lake,Barry,Shawn,D,131250.0,131250.0
Colorado Rapids,Bassett,Cole,M,60000.0,69000.0
Houston Dynamo,Beasley,DaMarcus,D,275004.0,275004.0
Montreal Impact,Beaulieu,Jason,GK,54500.04,54500.04
Real Salt Lake,Beckerman,Kyle,M,505008.0,530008.0
New York City FC,Bedoya,Daniel,M,54500.04,54500.04
Philadelphia Union,Bedoya,Alejandro,M,1200000.0,1266250.0
LAFC,Beitashour,Steven,D,275000.04,298375.04
Montreal Impact,Beland-Goyette,Louis,M,54500.0,55750.0
Atlanta United,Bello,George,D,67500.0,71500.0
Sporting Kansas City,Belmar,Kharlton,F,68254.2,68254.2
Real Salt Lake,Beltran,Tony,D,230000.0,240950.0
Orlando City SC,Bendik,Joe,GK,180000.0,189083.4
New York City FC,Berget,Jo Inge,F,600000.0,816666.67
San Jose Earthquakes,Bersano,Matt,GK,68254.2,68254.2
Real Salt Lake,Besler,Nick,M,67500.0,67500.0
